duplicate_group,n,n_classes,n_splits,classes,splits
0,1,1,1,Normal,train_source
1,1,1,1,Normal,train_source
2,1,1,1,Normal,train_source
3,1,1,1,Normal,train_source
4,1,1,1,Normal,train_source
5,1,1,1,Normal,train_source
6,1,1,1,Normal,train_source
7,1,1,1,Normal,train_source
8,1,1,1,Normal,train_source
9,1,1,1,Normal,train_source
10,1,1,1,Normal,train_source
11,1,1,1,Normal,train_source
12,1,1,1,Normal,train_source
13,1,1,1,Normal,train_source
14,1,1,1,Normal,train_source
15,2,1,1,Normal,train_source
16,1,1,1,Normal,train_source
17,1,1,1,Normal,train_source
18,1,1,1,Normal,train_source
19,1,1,1,Normal,train_source
20,1,1,1,Normal,train_source
21,1,1,1,Normal,train_source
22,1,1,1,Normal,train_source
23,1,1,1,Normal,train_source
24,1,1,1,Normal,train_source
25,1,1,1,Normal,train_source
26,1,1,1,Normal,train_source
27,1,1,1,Normal,train_source
28,1,1,1,Normal,train_source
29,1,1,1,Normal,train_source
30,1,1,1,Normal,train_source
31,1,1,1,Normal,train_source
32,1,1,1,Normal,train_source
33,1,1,1,Normal,train_source
34,1,1,1,Normal,train_source
35,1,1,1,Normal,train_source
36,1,1,1,Normal,train_source
37,2,1,1,Normal,train_source
38,1,1,1,Normal,train_source
39,1,1,1,Normal,train_source
40,1,1,1,Normal,train_source
41,1,1,1,Normal,train_source
42,1,1,1,Normal,train_source
43,1,1,1,Normal,train_source
44,1,1,1,Normal,train_source
45,1,1,1,Normal,train_source
46,1,1,1,Normal,train_source
47,1,1,1,Normal,train_source
48,1,1,1,Normal,train_source
49,1,1,1,Normal,train_source
50,1,1,1,Normal,train_source
51,1,1,1,Normal,train_source
52,1,1,1,Normal,train_source
53,1,1,1,Normal,train_source
54,1,1,1,Normal,train_source
55,1,1,1,Normal,train_source
56,1,1,1,Normal,train_source
57,1,1,1,Normal,train_source
58,1,1,1,Normal,train_source
59,1,1,1,Normal,train_source
60,1,1,1,Normal,train_source
61,1,1,1,Normal,train_source
62,1,1,1,Normal,train_source
63,1,1,1,Normal,train_source
64,1,1,1,Normal,train_source
65,1,1,1,Normal,train_source
66,1,1,1,Normal,train_source
67,1,1,1,Normal,train_source
68,1,1,1,Normal,train_source
69,1,1,1,Normal,train_source
70,1,1,1,Normal,train_source
71,1,1,1,Normal,train_source
72,1,1,1,Normal,train_source
73,1,1,1,Normal,train_source
74,1,1,1,Normal,train_source
75,1,1,1,Normal,train_source
76,2,1,1,Normal,train_source
77,1,1,1,Normal,train_source
78,1,1,1,Normal,train_source
79,1,1,1,Normal,train_source
80,1,1,1,Normal,train_source
81,1,1,1,Normal,train_source
82,1,1,1,Normal,train_source
83,1,1,1,Normal,train_source
84,1,1,1,Normal,train_source
85,1,1,1,Normal,train_source
86,1,1,1,Normal,train_source
87,1,1,1,Normal,train_source
88,1,1,1,Normal,train_source
89,1,1,1,Normal,train_source
90,1,1,1,Normal,train_source
91,1,1,1,Normal,train_source
92,1,1,1,Normal,train_source
93,1,1,1,Normal,train_source
94,1,1,1,Normal,train_source
95,1,1,1,Normal,train_source
96,1,1,1,Normal,train_source
97,1,1,1,Normal,train_source
98,2,1,1,Normal,train_source
99,1,1,1,Normal,train_source
100,1,1,1,Normal,train_source
101,1,1,1,Normal,train_source
102,1,1,1,Normal,train_source
103,1,1,1,Normal,train_source
104,1,1,1,Normal,train_source
105,1,1,1,Normal,train_source
106,1,1,1,Normal,train_source
107,1,1,1,Normal,train_source
108,1,1,1,Normal,train_source
109,1,1,1,Normal,train_source
110,1,1,1,Normal,train_source
111,1,1,1,Normal,train_source
112,1,1,1,Normal,train_source
113,1,1,1,Normal,train_source
114,1,1,1,Normal,train_source
115,1,1,1,Normal,train_source
116,1,1,1,Normal,train_source
117,1,1,1,Normal,train_source
118,1,1,1,Normal,train_source
119,1,1,1,Normal,train_source
120,1,1,1,Normal,train_source
121,1,1,1,Normal,train_source
122,1,1,1,Normal,train_source
123,1,1,1,Normal,train_source
124,1,1,1,Normal,train_source
125,1,1,1,Normal,train_source
126,1,1,1,Normal,train_source
127,1,1,1,Normal,train_source
128,1,1,1,Normal,train_source
129,1,1,1,Normal,train_source
130,1,1,1,Normal,train_source
131,1,1,1,Normal,train_source
132,1,1,1,Normal,train_source
133,1,1,1,Normal,train_source
134,1,1,1,Normal,train_source
135,1,1,1,Normal,train_source
136,1,1,1,Normal,train_source
137,1,1,1,Normal,train_source
138,1,1,1,Normal,train_source
139,1,1,1,Normal,train_source
140,1,1,1,Normal,train_source
141,1,1,1,Normal,train_source
142,1,1,1,Normal,train_source
143,1,1,1,Normal,train_source
144,2,1,1,Normal,train_source
145,1,1,1,Normal,train_source
146,1,1,1,Normal,train_source
147,1,1,1,Normal,train_source
148,1,1,1,Normal,train_source
149,1,1,1,Normal,train_source
150,1,1,1,Normal,train_source
151,1,1,1,Normal,train_source
152,1,1,1,Normal,train_source
153,1,1,1,Normal,train_source
154,1,1,1,Normal,train_source
155,1,1,1,Normal,train_source
156,1,1,1,Normal,train_source
157,1,1,1,Normal,train_source
158,1,1,1,Normal,train_source
159,1,1,1,Normal,train_source
160,1,1,1,Normal,train_source
161,1,1,1,Normal,train_source
162,1,1,1,Normal,train_source
163,1,1,1,Normal,train_source
164,1,1,1,Normal,train_source
165,1,1,1,Normal,train_source
166,1,1,1,Normal,train_source
167,1,1,1,Normal,train_source
168,1,1,1,Normal,train_source
169,1,1,1,Normal,train_source
170,1,1,1,Normal,train_source
171,1,1,1,Normal,train_source
172,1,1,1,Normal,train_source
173,1,1,1,Normal,train_source
174,1,1,1,Normal,train_source
175,1,1,1,Normal,train_source
176,1,1,1,Normal,train_source
177,1,1,1,Normal,train_source
178,1,1,1,Normal,train_source
179,1,1,1,Normal,train_source
180,1,1,1,Normal,train_source
181,1,1,1,Normal,train_source
182,1,1,1,Normal,train_source
183,1,1,1,Normal,train_source
184,1,1,1,Normal,train_source
185,1,1,1,Normal,train_source
186,1,1,1,Normal,train_source
187,1,1,1,Normal,train_source
188,1,1,1,Normal,train_source
189,1,1,1,Normal,train_source
190,1,1,1,Normal,train_source
191,1,1,1,Normal,train_source
192,1,1,1,Normal,train_source
193,1,1,1,Normal,train_source
194,1,1,1,Normal,train_source
195,1,1,1,Normal,train_source
196,1,1,1,Normal,train_source
197,1,1,1,Normal,train_source
198,1,1,1,Normal,train_source
199,1,1,1,Normal,train_source
200,1,1,1,Normal,train_source
201,1,1,1,Normal,train_source
202,2,1,1,Normal,train_source
203,1,1,1,Normal,train_source
204,1,1,1,Normal,train_source
205,1,1,1,Normal,train_source
206,1,1,1,Normal,train_source
207,1,1,1,Normal,train_source
208,1,1,1,Normal,train_source
209,1,1,1,Normal,train_source
210,1,1,1,Normal,train_source
211,1,1,1,Normal,train_source
212,1,1,1,Normal,train_source
213,1,1,1,Normal,train_source
214,1,1,1,Normal,train_source
215,1,1,1,Normal,train_source
216,1,1,1,Normal,train_source
217,1,1,1,Normal,train_source
218,1,1,1,Normal,train_source
219,1,1,1,Normal,train_source
220,1,1,1,Normal,train_source
221,1,1,1,Normal,train_source
222,1,1,1,Normal,train_source
223,1,1,1,Normal,train_source
224,1,1,1,Normal,train_source
225,1,1,1,Normal,train_source
226,1,1,1,Normal,train_source
